Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohyaw
Entry: bahcil | Absolutive: bahcil | Generated Absolutive: bahcilʔ
Entry: bahciluw | Absolutive: bahciluw | Generated Absolutive: bahciluwʔ
Entry: bahku | Absolutive: bahku | Generated Absolutive: bahkuw
Entry: *bahkʰel | Absolutive: bahkʰel | Generated Absolutive: bahkʰelʔ
Entry: bahkʰoy | Absolutive: bahkʰoy | Generated Absolutive: bahkʰoyʔ
Entry: bahlaw | Absolutive: bahlaw | Generated Absolutive: bahlawʔ
Entry: *bahpʰihpʰi | Absolutive: bahpʰihpʰiʔ | Generated Absolutive: bahpʰihpʰiw
Entry: *bahpʰuṭay | Absolutive: bapʰuṭayʔ | Generated Absolutive: bahpʰuṭayʔ
Entry: bahqa | Absolutive: bahqa | Generated Absolutive: bahqaw
Entry: *bahqʰayad | Absolutive: bahqʰayadu | Generated Absolutive: bahqʰaya·du
Entry: *bahsam | Absolutive: bahsam | Generated Absolutive: bahsamʔ
Entry: bahša | Absolutive: bahša | Generated Absolutive: bahšaw
Entry: *bahšona·tad | Absolutive: bašona·tadu | Generated Absolutive: bahšona·tadu
Entry: *bahtsitad | Absolutive: bahtsitadu | Generated Absolutive: bahtsita·du
Entry: bahtʰibaṭʰa·du | Absolutive: bahtʰibaṭʰa·du | Generated Absolutive: bahtʰibaṭʰa·duw
Entry: *bahṭʰahṭʰac | Absolutive: bahṭʰahṭʰaw | Generated Absolutive: bahṭʰahṭʰaʔ
Entry: bahṭʰe | Absolutive: bahṭʰe | Generated Absolutive: bahṭʰew
Entry: bahṭʰucʼe· | Absolutive: bahṭʰucʼe· | Generated Absolutive: bahṭʰucʼew
Entry: bahya | Absolutive: bahya | Generated Absolutive: bahyaw
Entry: *baki·lma | Absolutive: bakilmaw | Generated Absolutive: baki·lmaw
Entry: *bakʼe·nci | Absolutive: bakʼenciw | Generated Absolutive: bakʼe·nciw
Entry: *bakʼo·cʰqa | Absolutive: bakʼocʰqaw | Generated Absolutive: bakʼo·cʰqaw
Entry: *baqʰa·ṭʰqa | Absolutive: baqʰaṭʰqaw | Generated Absolutive: baqʰa·ṭʰqaw
Entry: basʼa·sʼa | Absolutive: basʼa·sʼa | Generated Absolutive: basʼa·sʼaw
Entry: basʼisʼi | Absolutive: basʼisʼi | Generated Absolutive: basʼisʼiw
Entry: baše | Absolutive: baše | Generated Absolutive: bašew
Entry: baše·wi | Absolutive: baše·wi | Generated Absolutive: baše·wiw
Entry: *batayʔta | Absolutive: bahtayʔtaw | Generated Absolutive: batayʔtaw
Entry: baṭa | Absolutive: baṭa | Generated Absolutive: baṭaw
Entry: baṭʰemʔda | Absolutive: baṭʰemʔda | Generated Absolutive: baṭʰemʔdaw
Entry: baṭʰe· | Absolutive: baṭʰe· | Generated Absolutive: baṭʰew
Entry: *baṭʼawʔcʼic | Absolutive: baṭʼiawʔcʼiʔ | Generated Absolutive: baṭʼawʔcʼiʔ
