Entry: *babahlic | Absolutive: babahliʔ | Generated Absolutive: babahliʔ
Entry: *babola·tad | Absolutive: babola·tadu | Generated Absolutive: babola·tadu
Entry: *babo·l | Absolutive: babolʔ | Generated Absolutive: babolʔ
Entry: *bacecʼ | Absolutive: baceʔ | Generated Absolutive: baceʔ
Entry: *bacut | Absolutive: bacuʔ | Generated Absolutive: bacuʔ
Entry: *bacutam | Absolutive: bacutamʔ | Generated Absolutive: bacutamʔ
Entry: *bacutamqa | Absolutive: None | Generated Absolutive: bacutamqaw
Entry: *bacu·la | Absolutive: bacu·law | Generated Absolutive: bacu·law
Entry: *bacu·m | Absolutive: bacumʔ | Generated Absolutive: bacumʔ
Entry: *bacʰihwaduc | Absolutive: None | Generated Absolutive: bacʰihwaduʔ
Entry: *bacʰita·laq | Absolutive: None | Generated Absolutive: bacʰita·laʔ
Entry: *bacʰiṭ | Absolutive: bacʰiʔ | Generated Absolutive: bacʰiʔ
Entry: *bacʰi·ṭ | Absolutive: bacʰiʔ | Generated Absolutive: bacʰiʔ
Entry: *bacʰu | Absolutive: bacʰuw | Generated Absolutive: bacʰuw
Entry: *bacʰul | Absolutive: bacʰulʔ | Generated Absolutive: bacʰulʔ
Entry: *bacʰulʔta | Absolutive: bacʰulʔtaw | Generated Absolutive: bacʰulʔtaw
Entry: *bacʰut | Absolutive: bacʰuʔ | Generated Absolutive: bacʰuʔ
Entry: *bacʼal | Absolutive: bacʼalʔ | Generated Absolutive: bacʼalʔ
Entry: *bacʼalta | Absolutive: bacʼaltaw | Generated Absolutive: bacʼaltaw
Entry: *bacʼa·ṭ | Absolutive: bacʼaʔ | Generated Absolutive: bacʼaʔ
Entry: *bacʼebacʼe | Absolutive: bacʼebacʼew | Generated Absolutive: bacʼebacʼew
Entry: *bacʼihṭi | Absolutive: bacʼihṭiw | Generated Absolutive: bacʼihṭiw
Entry: *bacʼi·ṭ | Absolutive: bacʼiʔ | Generated Absolutive: bacʼiʔ
