Entry: *bahqʰayad | Absolutive: bahqʰayadu | Generated Absolutive: bahqʰaya·du
Entry: *bahšona·tad | Absolutive: bašona·tadu | Generated Absolutive: bahšona·tadu
Entry: *bahtsitad | Absolutive: bahtsitadu | Generated Absolutive: bahtsita·du
Entry: *baʔqʼoʔdiwad | Absolutive: baʔqʼoʔdowa·du | Generated Absolutive: baʔqʼoʔdiwa·du
Entry: *bikʼo·ṭatad | Absolutive: bikʼoṭa·tadu | Generated Absolutive: bikʼoṭa·ta·du
Entry: *biʔqʼoʔdiwad | Absolutive: biʔqʼoʔdowa·du | Generated Absolutive: biʔqʼoʔdiwa·du
Entry: *bo·catad | Absolutive: boca·tadu | Generated Absolutive: boca·ta·du
Entry: *cahmucamutad | Absolutive: cahmucamutadu | Generated Absolutive: cahmucamuta·du
Entry: *caʔcʼetad | Absolutive: caʔcʼetadu | Generated Absolutive: caʔcʼeta·du
Entry: *caʔqʼoʔdiwad | Absolutive: caʔqʼoʔdowa·du | Generated Absolutive: caʔqʼoʔdiwa·du
Entry: *cihkocihkotad | Absolutive: cihkocikota·du | Generated Absolutive: cihkocihkota·du
Entry: *cohkocohkotad | Absolutive: cohkocokota·du | Generated Absolutive: cohkocohkota·du
Entry: *cohpola·tad | Absolutive: cohpolha·ta·du | Generated Absolutive: cohpola·tadu
Entry: *cuhqʰayad | Absolutive: cuhqʰayadu | Generated Absolutive: cuhqʰaya·du
Entry: *cuhtsitad | Absolutive: cuhtsitadu | Generated Absolutive: cuhtsita·du
Entry: *dahkela·tad | Absolutive: dahkelata·du | Generated Absolutive: dahkela·tadu
Entry: *dahkodahkotad | Absolutive: dahkodakota·du | Generated Absolutive: dahkodahkota·du
Entry: *dahpana·tad | Absolutive: dapana·tadu | Generated Absolutive: dahpana·tadu
Entry: *dahsewad | Absolutive: dahsewadu | Generated Absolutive: dahsewa·du
Entry: *dakʰe·d | Absolutive: dukʰe·du | Generated Absolutive: dakʰe·du
Entry: *daṭʰewad | Absolutive: daṭʰewadu | Generated Absolutive: daṭʰewa·du
Entry: *daʔtʼadatʼad | Absolutive: daʔtʼadatʼata·du | Generated Absolutive: daʔtʼadatʼa·du
Entry: *dihkela·tad | Absolutive: dihkelata·du | Generated Absolutive: dihkela·tadu
Entry: *diʔcʼabatad | Absolutive: diʔcʼaba·tadu | Generated Absolutive: diʔcʼabata·du
Entry: *di·cʼid | Absolutive: di·cʼidu | Generated Absolutive: dicʼi·du
Entry: *di·cʼiduwad | Absolutive: dicʼi·duwa·du | Generated Absolutive: di·cʼiduwa·du
Entry: *dohkodohkotad | Absolutive: dohkodokota·du | Generated Absolutive: dohkodohkota·du
Entry: *dohpola·tad | Absolutive: dohpolha·ta·du | Generated Absolutive: dohpola·tadu
Entry: *dokʼo·ṭatad | Absolutive: dokʼoṭa·tadu | Generated Absolutive: dokʼoṭa·ta·du
Entry: *doʔkʼoyad | Absolutive: doʔkʼoyʔ | Generated Absolutive: doʔkʼoya·du
Entry: *doʔqʼoʔdiwad | Absolutive: doʔqʼoʔdowa·du | Generated Absolutive: doʔqʼoʔdiwa·du
Entry: *duhcʰaducʰatad | Absolutive: duhcʰaducʰaw | Generated Absolutive: duhcʰaducʰata·du
Entry: *duhkela·tad | Absolutive: duhkelata·du | Generated Absolutive: duhkela·tadu
Entry: *duhmudumutad | Absolutive: duhmudumutadu | Generated Absolutive: duhmudumuta·du
Entry: *duʔyaqad | Absolutive: duʔyaqadu | Generated Absolutive: duʔyaqa·du
Entry: *duʔya·qad | Absolutive: duʔya·qadu | Generated Absolutive: duʔyaqa·du
Entry: *hcecad | Absolutive: ceca·du | Generated Absolutive: cecadu
Entry: *hihmuhimutad | Absolutive: hihmuhimutadu | Generated Absolutive: hihmuhimuta·du
Entry: *hihtsitad | Absolutive: hihtsitadu | Generated Absolutive: hihtsita·du
Entry: *hiʔqʼoʔdiwad | Absolutive: hiʔqʼoʔdowa·du | Generated Absolutive: hiʔqʼoʔdiwa·du
Entry: *hqacid | Absolutive: qaci·du | Generated Absolutive: qacidu
Entry: *hqalad | Absolutive: qala·du | Generated Absolutive: qaladu
Entry: *hqamad | Absolutive: qama·du | Generated Absolutive: qamadu
Entry: *hšiṭʰad | Absolutive: šiṭʰa·du | Generated Absolutive: šiṭʰadu
Entry: kʼana·tad | Absolutive: kʼana·tad | Generated Absolutive: kʼana·taʔ
Entry: *mahkomahkotad | Absolutive: mahkomakota·du | Generated Absolutive: mahkomahkota·du
Entry: *mahqʰamaqʰata·d | Absolutive: mahqʰamaqʰata·d | Generated Absolutive: mahqʰamaqʰata·du
Entry: *miced | Absolutive: mice·du | Generated Absolutive: micedu
Entry: *mihkomihkotad | Absolutive: mihkomikota·du | Generated Absolutive: mihkomihkota·du
Entry: *mihqʰamiqʰatad | Absolutive: mihqʰamiqʰata·d | Generated Absolutive: mihqʰamiqʰata·du
Entry: *miʔpʼomipʼotad | Absolutive: mipʼomipʼota·du | Generated Absolutive: miʔpʼomipʼota·du
Entry: *mokʼo·ṭatad | Absolutive: mokʼoṭa·tadu | Generated Absolutive: mokʼoṭa·ta·du
Entry: *motad | Absolutive: mota·du | Generated Absolutive: motadu
Entry: *muhmumumutad | Absolutive: muhmumumutadu | Generated Absolutive: muhmumumuta·du
Entry: *muhṭʰimuṭʰitad | Absolutive: muhṭʰmuṭʰita·du | Generated Absolutive: muhṭʰimuṭʰita·du
Entry: *ninetad | Absolutive: ninetadu | Generated Absolutive: nineta·du
Entry: *pahkopahkotad | Absolutive: pahkopakota·du | Generated Absolutive: pahkopahkota·du
Entry: *pihcopicotad | Absolutive: phicopicota·du | Generated Absolutive: pihcopicota·du
Entry: *pihkopihkotad | Absolutive: pihkopikota·du | Generated Absolutive: pihkopihkota·du
