,Entries,Pronunciations,Generated Pron,Tones,Generated Tones,Absolutives,Generated Abs,Grammatical Info,Gloss
0,*babahlic,babáhliʔ,babáhliʔ,,3,babahliʔ,babahliʔ,,
1,*babola·tad,babolá·tadu,babolá·tadu,,3,babola·tadu,babola·tadu,,
2,*babo·l,babolʔ´,babolʔ´,,3,babolʔ,babolʔ,Verb,grab with mouth
3,*bacecʼ,bacéʔ,bacéʔ,,3,baceʔ,baceʔ,Verb,line with mouth
4,*bacut,bacúʔ,bacúʔ,,3,bacuʔ,bacuʔ,,
5,*bacutam,bacútamʔ,bacutámʔ,,2,bacutamʔ,bacutamʔ,,
6,*bacutamqa,,bacutámqaw,,3,,bacutamqaw,,
7,*bacu·la,bacu·láw,bacu·láw,,4,bacu·law,bacu·law,Verb,jump down
8,*bacu·m,bacumʔ´,bacumʔ´,,3,bacumʔ,bacumʔ,Verb,"stuff into hole with beak, snout"
9,*bacʰihwaduc,,bacʰíhwaduʔ,,3,,bacʰihwaduʔ,,
10,*bacʰita·laq,,bacʰitá·laʔ,,3,,bacʰita·laʔ,,
11,*bacʰiṭ,bacʰíʔ,bacʰíʔ,,3,bacʰiʔ,bacʰiʔ,,
12,*bacʰi·ṭ,bacʰiʔ´,bacʰiʔ´,,3,bacʰiʔ,bacʰiʔ,Verb,pull out with mouth or beak
13,*bacʰu,bacʰúw,bacʰúw,,3,bacʰuw,bacʰuw,Verb,scrub with mouth or beak
14,*bacʰul,bacʰúlʔ,bacʰúlʔ,,3,bacʰulʔ,bacʰulʔ,Verb,pick with beak
15,*bacʰulʔta,bacʰúlʔtaw,bacʰúlʔtaw,,3,bacʰulʔtaw,bacʰulʔtaw,,
16,*bacʰut,bacʰúʔ,bacʰúʔ,,3,bacʰuʔ,bacʰuʔ,,
17,*bacʼal,bacʼálʔ,bacʼálʔ,,3,bacʼalʔ,bacʼalʔ,Verb,separate but remain attached with mouth
18,*bacʼalta,bacʼáltaw,bacʼáltaw,,3,bacʼaltaw,bacʼaltaw,,
19,*bacʼa·ṭ,bacʼaʔ´,bacʼaʔ´,,3,bacʼaʔ,bacʼaʔ,Verb,put acorn in hole
20,*bacʼebacʼe,bacʼebácʼew,bacʼebácʼew,,3,bacʼebacʼew,bacʼebacʼew,Reduplicating Verb,speak fast
21,*bacʼihṭi,bacʼíhṭiw,bacʼíhṭiw,,3,bacʼihṭiw,bacʼihṭiw,,
22,*bacʼi·ṭ,bacʼiʔ´,bacʼiʔ´,,3,bacʼiʔ,bacʼiʔ,Verb,start singing
23,*bacʼohli,bacʼóhliw,bacʼóhliw,,3,bacʼohliw,bacʼohliw,,
24,bacʼohya·,bacʼóhya·,bacʼóhya·,,3,bacʼo hya·,bacʼohya·,Noun,start (song)
25,*bacʼo·,bacʼow´,bacʼow´,,3,bacʼow,bacʼow,Verb,start to sing
26,*bacʼo·m,bacʼomʔ´,bacʼomʔ´,,3,bacʼomʔ,bacʼomʔ,Verb,interrupt
27,*bacʼo·q,bacʼoʔ´,bacʼoʔ´,,3,bacʼoʔ,bacʼoʔ,Verb,back up
28,*badaya,badayáw,badayáw,,3,badayaw,badayaw,,
29,*badayacʰqa,badayácʰqaw,badayácʰqaw,,3,badayacʰqaw,badayacʰqaw,Verb,cause oral mistake
30,*badayahqa,badayáhqaw,badayáhqaw,,3,badayahqaw,badayahqaw,,
31,*badayicʼ,badayíʔ,badayíʔ,,3,badayiʔ,badayiʔ,Verb,answer
32,*badayi·cʼet,badayi·cʼéʔ,badayí·cʼeʔ,,3,badayi·cʼeʔ,badayi·cʼeʔ,,
33,*badayi·tacʼ,,badayí·taʔ,,3,,badayi·taʔ,,
