Entry: bo·tʼ | Absolutive: botʼ | Generated Absolutive: boʔ
Entry: cahwe·nmucʼ | Absolutive: cumatʰma· cahwenmuʔ | Generated Absolutive: cahwenmuʔ
Entry: he·cʼ | Absolutive: he·cʼ hecʼ | Generated Absolutive: heʔ
Entry: kalikakʰ | Absolutive: kalikakʰ | Generated Absolutive: kalikaʔ
Entry: kiki·ṭʰ | Absolutive: kiki·ṭʰ | Generated Absolutive: kikiʔ
Entry: kʼana·tad | Absolutive: kʼana·tad | Generated Absolutive: kʼana·taʔ
Entry: kʼopʼkʼopʼ | Absolutive: kʼopʼkʼopʼ | Generated Absolutive: kʼopʼkʼoʔ
Entry: qʼ | Absolutive: qʼ | Generated Absolutive: ʔ
Entry: qʼ | Absolutive: qʼ | Generated Absolutive: ʔ
Entry: ste·cʰ | Absolutive: ste·cʰ | Generated Absolutive: teʔ
Entry: sʼapʼ | Absolutive: sʼapʼ | Generated Absolutive: sʼaʔ
Entry: sʼaṭʼ | Absolutive: sʼaṭʼ | Generated Absolutive: sʼaʔ
Entry: sʼipʼ | Absolutive: sʼipʼ | Generated Absolutive: sʼiʔ
Entry: sʼiṭʼ | Absolutive: sʼiṭʼ | Generated Absolutive: sʼiʔ
Entry: sʼupʼ | Absolutive: sʼupʼ | Generated Absolutive: sʼuʔ
Entry: šaqʼa·qʼayʔ | Absolutive: ša qʼa·qʼayʔ šaqʼa·qʼay | Generated Absolutive: šaqʼa·qʼayʔ
Entry: šatʼ | Absolutive: šatʼ | Generated Absolutive: šaʔ
Entry: šo·tʼ | Absolutive: šotʼ | Generated Absolutive: šoʔ
Entry: teneto·r | Absolutive: teneto·r | Generated Absolutive: tenetoʔ
Entry: tʼupʼ | Absolutive: tʼupʼ | Generated Absolutive: tʼuʔ
Entry: ṭaqʰ | Absolutive: ṭaqʰ | Generated Absolutive: ṭaʔ
Entry: ṭikʼ | Absolutive: ṭikʼ | Generated Absolutive: ṭiʔ
Entry: ṭoqʰ | Absolutive: ṭoqʰ | Generated Absolutive: ṭoʔ
Entry: ṭʰapʰ | Absolutive: ṭʰapʰ | Generated Absolutive: ṭʰaʔ
Entry: ʔihqʰoṭ | Absolutive: ʔihqʰoṭ | Generated Absolutive: ʔihqʰoʔ
