Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Entry: bahloq | Absolutive: bahloʔ | Generated Absolutive: bahloq
Entry: bahsoq | Absolutive: bahsoʔ | Generated Absolutive: bahsoq
Entry: biqʰama· tol | Absolutive: biqʰama· tolʔ | Generated Absolutive: biqʰama· tol
Entry: cahwe·nmucʼ | Absolutive: cumatʰma· cahwenmuʔ | Generated Absolutive: cahwenmucʼ
Entry: cili·ʔcʰot | Absolutive: ciliʔcʰoʔ | Generated Absolutive: ciliʔcʰot
Entry: ciriyo·n | Absolutive: ciriyo·n | Generated Absolutive: ciriyon
Entry: cuhṭʰe | Absolutive: cuhṭʰew | Generated Absolutive: cuhṭʰe
Entry: cuhu lahwal | Absolutive: cuhulahwal | Generated Absolutive: cuhu lahwal
Entry: cukʼaṭʰic | Absolutive: cukʼaṭʰiʔ | Generated Absolutive: cukʼaṭʰic
Entry: cʰala·mʔ | Absolutive: cʰalamʔ | Generated Absolutive: cʰala·mʔ
Entry: dolo·mʔ | Absolutive: dolomʔ | Generated Absolutive: dolo·mʔ
Entry: dul qʰaʔa·li | Absolutive: dulqʰaʔa·li | Generated Absolutive: dul qʰaʔa·li
Entry: dutʼat yac | Absolutive: dutʼat yaʔ | Generated Absolutive: dutʼat yac
Entry: háê | Absolutive: háê | Generated Absolutive: áê
Entry: haʔcʼa | Absolutive: haʔcʼaw | Generated Absolutive: haʔcʼa
Entry: helec | Absolutive: heleʔ | Generated Absolutive: helec
Entry: he·cʼ | Absolutive: he·cʼ hecʼ | Generated Absolutive: hecʼ
Entry: hihsuhsuc | Absolutive: hihsuhsuʔ | Generated Absolutive: hihsuhsuc
Entry: hiʔṭʼiṭ | Absolutive: hiʔṭʼiʔ | Generated Absolutive: hiʔṭʼiṭ
Entry: hoṭʰe·l | Absolutive: hoṭʰe·l | Generated Absolutive: hoṭʰel
Entry: hqa cuhse | Absolutive: qacuhse | Generated Absolutive: qa cuhse
Entry: hqahmat | Absolutive: qahmaʔ | Generated Absolutive: qahmat
Entry: hqʰoṭ | Absolutive: qʰoʔ | Generated Absolutive: qʰoṭ
Entry: huʔuy tol | Absolutive: huʔu·tol | Generated Absolutive: huʔuy tol
Entry: huʔuymo | Absolutive: huʔu·mo | Generated Absolutive: huʔuymo
Entry: kafe· | Absolutive: kafe·y | Generated Absolutive: kafe·
Entry: kaṭʰo·fla | Absolutive: kaṭʰo·fla | Generated Absolutive: kaṭʰofla
Entry: kaṭʰo·flas | Absolutive: kaṭʰo·flas | Generated Absolutive: kaṭʰoflas
Entry: kawa·yu hca | Absolutive: kawa·yuhca | Generated Absolutive: kawa·yu hca
Entry: kawa·yu hso | Absolutive: kawa·yuhso | Generated Absolutive: kawa·yu hso
Entry: kiki·ṭʰ | Absolutive: kiki·ṭʰ | Generated Absolutive: kikiṭʰ
Entry: kumiʔdac | Absolutive: kumiʔdaʔ | Generated Absolutive: kumiʔdac
Entry: kʰiwim | Absolutive: kʰiwimʔ | Generated Absolutive: kʰiwim
Entry: kʰiʔwiʔwi | Absolutive: kʰiʔwiʔwiw | Generated Absolutive: kʰiʔwiʔwi
Entry: lipʰuyhya | Absolutive: lipʰuy hya | Generated Absolutive: lipʰuyhya
Entry: liʔši | Absolutive: liʔšiw | Generated Absolutive: liʔši
Entry: mahsic | Absolutive: mahsiʔ | Generated Absolutive: mahsic
Entry: mahwenmucʼ | Absolutive: mahwenmuʔ | Generated Absolutive: mahwenmucʼ
Entry: makʼahci | Absolutive: maʔkʼahciw | Generated Absolutive: makʼahci
Entry: mi hcaw | Absolutive: mihcaw | Generated Absolutive: mi hcaw
Entry: mihi lahwal | Absolutive: mihilahwal | Generated Absolutive: mihi lahwal
Entry: mihšac | Absolutive: mihšaʔ | Generated Absolutive: mihšac
Entry: mihyac | Absolutive: mihyaʔ | Generated Absolutive: mihyac
Entry: mihyoq | Absolutive: mihyoʔ | Generated Absolutive: mihyoq
Entry: misa·c | Absolutive: misaʔ | Generated Absolutive: misac
Entry: miṭac | Absolutive: miṭaʔ | Generated Absolutive: miṭac
Entry: naṭa ṭʼa·mqa | Absolutive: ṭʼamqaw | Generated Absolutive: naṭa ṭʼamqa
Entry: na·ncʼa | Absolutive: na·ncʼa | Generated Absolutive: nancʼa
Entry: nonoc | Absolutive: nonoʔ | Generated Absolutive: nonoc
Entry: pacet | Absolutive: paceʔ | Generated Absolutive: pacet
Entry: pacew | Absolutive: pʰacew | Generated Absolutive: pacew
Entry: pataro·n | Absolutive: pataro·n | Generated Absolutive: pataron
Entry: patro·n | Absolutive: patro·n | Generated Absolutive: patron
Entry: paʔsʼaṭi·cʼ | Absolutive: paʔsʼaṭiʔ | Generated Absolutive: paʔsʼaṭicʼ
Entry: pa·dre | Absolutive: pa·tere | Generated Absolutive: padre
Entry: pehcenaq | Absolutive: pehcenaʔ | Generated Absolutive: pehcenaq
Entry: pe·cʰka | Absolutive: pe·cʰka | Generated Absolutive: pecʰka
Entry: pe·m | Absolutive: pe·m | Generated Absolutive: pem
Entry: picʰe·l | Absolutive: picʰe·l | Generated Absolutive: picʰel
Entry: pitaṭaq | Absolutive: pitaṭaʔ | Generated Absolutive: pitaṭaq
Entry: pite·macʼ | Absolutive: pite·maʔ | Generated Absolutive: pite·macʼ
Entry: pi·tʰuštʰušu | Absolutive: pi·tʰušpušu | Generated Absolutive: pi·tʰuštʰušu
Entry: pokʰo·c | Absolutive: pokʰoʔ | Generated Absolutive: pokʰoc
Entry: po·tʰlo | Absolutive: po·tʰlo | Generated Absolutive: potʰlo
Entry: punya·l | Absolutive: punya·l | Generated Absolutive: punyal
Entry: pʰibe·lma | Absolutive: pʰibelmaw | Generated Absolutive: pʰibelma
Entry: qada·la | Absolutive: qada·law | Generated Absolutive: qada·la
Entry: qahmat | Absolutive: qahmaʔ | Generated Absolutive: qahmat
Entry: qala·mʔ | Absolutive: qalamʔ | Generated Absolutive: qala·mʔ
Entry: qasʼi·c | Absolutive: qasʼiʔ | Generated Absolutive: qasʼic
Entry: qola·mʔhay | Absolutive: qolamʔhay | Generated Absolutive: qola·mʔhay
Entry: sibo se·ntu | Absolutive: sibose·ntu | Generated Absolutive: sibo sentu
Entry: sihmut | Absolutive: sihmuʔ | Generated Absolutive: sihmut
Entry: sihṭʰe | Absolutive: sihṭʰew | Generated Absolutive: sihṭʰe
Entry: sipaṭ | Absolutive: sipaʔ | Generated Absolutive: sipaṭ
Entry: ste·cʰ | Absolutive: ste·cʰ | Generated Absolutive: tecʰ
Entry: sʼamoṭ | Absolutive: sʼamoʔ | Generated Absolutive: sʼamoṭ
Entry: sʼawa·t | Absolutive: sʼawaʔ | Generated Absolutive: sʼawat
Entry: šacecʼ | Absolutive: šaceʔ | Generated Absolutive: šacecʼ
Entry: šamatʰmacʼ | Absolutive: šamatʰmaʔ | Generated Absolutive: šamatʰmacʼ
Entry: šaqʼa·qʼayʔ | Absolutive: ša qʼa·qʼayʔ šaqʼa·qʼay | Generated Absolutive: šaqʼa·qʼayʔ
Entry: šihmi | Absolutive: šihmiw | Generated Absolutive: šihmi
Entry: šoko·lʔli | Absolutive: šokolʔli | Generated Absolutive: šoko·lʔli
