Index: 5 | Entry: *bacutam | Pronunciation: bacútamʔ | Generated Pronunciation: bacutámʔ
Index: 32 | Entry: *badayi·cʼet | Pronunciation: badayi·cʼéʔ | Generated Pronunciation: badayí·cʼeʔ
Index: 45 | Entry: *bahci | Pronunciation: bahcíw | Generated Pronunciation: báhciw
Index: 210 | Entry: *batʼacʼaq | Pronunciation: bátʼacʼaʔ | Generated Pronunciation: batʼacʼáʔ
Index: 287 | Entry: *baʔṭʼuṭʰu | Pronunciation: baʔṭʼúṭʰuw | Generated Pronunciation: baʔṭʼuṭʰúw
Index: 296 | Entry: beṭi | Pronunciation: beṭi´ | Generated Pronunciation: beṭí
Index: 316 | Entry: *bicʼul | Pronunciation: bicʼulʔ | Generated Pronunciation: bicʼúlʔ
Index: 392 | Entry: *bikʼo·ṭatad | Pronunciation: bikʼoṭá·tadu | Generated Pronunciation: bikʼoṭa·tadú
Index: 411 | Entry: *bišohli | Pronunciation: bišohlíw | Generated Pronunciation: bišóhliw
Index: 443 | Entry: *biʔne·cicʼ | Pronunciation: biʔné·ciʔ | Generated Pronunciation: biʔne·cíʔ
Index: 459 | Entry: *biʔṭʼuṭʰu | Pronunciation: biʔṭʼúṭʰuw | Generated Pronunciation: biʔṭʼuṭʰúw
Index: 466 | Entry: *bohci | Pronunciation: bohcíw | Generated Pronunciation: bóhciw
Index: 479 | Entry: *bo·catad | Pronunciation: bocá·tadu | Generated Pronunciation: boca·tadú
Index: 519 | Entry: *cadumacʼ | Pronunciation: cadumáʔ | Generated Pronunciation: cadúmaʔ
Index: 527 | Entry: *cahci | Pronunciation: cahcíw | Generated Pronunciation: cáhciw
Index: 589 | Entry: cahtenʔ | Pronunciation: cahténʔ | Generated Pronunciation: cáhtenʔ
Index: 631 | Entry: *camhciwa·tacʼ | Pronunciation: cámhciwa·taʔ | Generated Pronunciation: camhciwá·taʔ
Index: 726 | Entry: ca·ṭalʔṭa | Pronunciation: cá·ṭalʔṭa | Generated Pronunciation: ca·ṭálʔṭa
Index: 731 | Entry: cibaʔna | Pronunciation: cibaʔna´ | Generated Pronunciation: cibáʔna
Index: 816 | Entry: *ciwaqac | Pronunciation: ciwaqáʔ | Generated Pronunciation: ciwáqaʔ
Index: 817 | Entry: *ciwa·duc | Pronunciation: ciwa·dúʔ | Generated Pronunciation: ciwá·duʔ
Index: 818 | Entry: *ciwoloq | Pronunciation: ciwolóʔ | Generated Pronunciation: ciwóloʔ
Index: 819 | Entry: *ciwolo·qocʼ | Pronunciation: ciwoló·qoʔ | Generated Pronunciation: ciwólo·qoʔ
Index: 821 | Entry: *ciwoqocʼ | Pronunciation: ciwoqóʔ | Generated Pronunciation: ciwóqoʔ
Index: 865 | Entry: *cohqacʼ | Pronunciation: cohqáʔ | Generated Pronunciation: cóhqaʔ
Index: 958 | Entry: cuhma | Pronunciation: cuhmá | Generated Pronunciation: cuhma´
Index: 1042 | Entry: *cusʼuy | Pronunciation: cusʼuyʔ | Generated Pronunciation: cusʼúyʔ
Index: 1096 | Entry: *cʰahtimacʼ | Pronunciation: cʰáhtimaʔ | Generated Pronunciation: cʰahtimáʔ
Index: 1103 | Entry: cʰawi·li | Pronunciation: cʰawí·li | Generated Pronunciation: cʰawi·li´
Index: 1121 | Entry: *cʰiko·koc | Pronunciation: cʰikó·koʔ | Generated Pronunciation: cʰiko·kóʔ
Index: 1131 | Entry: *cʰikʼot | Pronunciation: cʰokʼóʔ | Generated Pronunciation: cʰikʼóʔ
Index: 1139 | Entry: *cʰila·qocʼ | Pronunciation: cʰila·qóʔ | Generated Pronunciation: cʰilá·qoʔ
Index: 1207 | Entry: *cʰotʰci | Pronunciation: cʰohci | Generated Pronunciation: cʰótʰciw
Index: 1216 | Entry: *cʰulma | Pronunciation: cʰulmáw | Generated Pronunciation: cʰúlmaw
Index: 1236 | Entry: *cʼolocʼolo | Pronunciation: cʼolocʼolow | Generated Pronunciation: cʼolocʼólow
Index: 1238 | Entry: *cʼoyʔcʼed | Pronunciation: cʼóyʔcʼedu | Generated Pronunciation: cʼoyʔcʼedú
Index: 1355 | Entry: *dahpʰihpʰi | Pronunciation: dahpíhpiw | Generated Pronunciation: dahpʰíhpʰiw
Index: 1368 | Entry: *dahqʰadahqʰa | Pronunciation: dahqʰdáhqʰaw | Generated Pronunciation: dahqʰadáhqʰaw
Index: 1460 | Entry: *damita·duc | Pronunciation: damíta·duʔ | Generated Pronunciation: damitá·duʔ
Index: 1494 | Entry: *dašohli | Pronunciation: dašohlíw | Generated Pronunciation: dašóhliw
Index: 1501 | Entry: datiʔli | Pronunciation: datiʔli´ | Generated Pronunciation: datíʔli
Index: 1571 | Entry: *daʔtʼutʰu | Pronunciation: daʔtʼútʰuw | Generated Pronunciation: daʔtʼutʰúw
Index: 1641 | Entry: *dicʼma | Pronunciation: dicʼmáw | Generated Pronunciation: dícʼmaw
Index: 1642 | Entry: *dicʼmucʼ | Pronunciation: dicʼmúʔ | Generated Pronunciation: dícʼmuʔ
Index: 1653 | Entry: *dihci | Pronunciation: dihcíw | Generated Pronunciation: díhciw
Index: 1690 | Entry: *dihqoṭol | Pronunciation: dihqóṭolʔ | Generated Pronunciation: dihqoṭólʔ
Index: 1707 | Entry: *dihtad | Pronunciation: díhtadu | Generated Pronunciation: dihtadú
Index: 1712 | Entry: *dihtimac | Pronunciation: díhtimaʔ | Generated Pronunciation: dihtimáʔ
Index: 1778 | Entry: *diʔcʼoqʰot | Pronunciation: diʔcʼóqʰoʔ | Generated Pronunciation: diʔcʼoqʰóʔ
Index: 1830 | Entry: *dohkodohkom | Pronunciation: dohkodóhkom | Generated Pronunciation: dohkodóhkomʔ
Index: 1849 | Entry: *dohqo·ci | Pronunciation: dohqó·ciw | Generated Pronunciation: dohqo·cíw
Index: 1863 | Entry: doktoro | Pronunciation: dóktoro | Generated Pronunciation: doktoró
Index: 1871 | Entry: *dokʼo·ṭatad | Pronunciation: dokʼoṭá·tadu | Generated Pronunciation: dokʼoṭa·tadú
Index: 1881 | Entry: *došohli | Pronunciation: došohlíw | Generated Pronunciation: došóhliw
Index: 2007 | Entry: *duhsidusitad | Pronunciation: duhsidusitá·du | Generated Pronunciation: duhsidúsita·du
Index: 2025 | Entry: duhtenʔ | Pronunciation: duhténʔ | Generated Pronunciation: dúhtenʔ
Index: 2032 | Entry: *duhṭʰe | Pronunciation: duhṭʰe´ | Generated Pronunciation: duhṭʰéw
Index: 2092 | Entry: dusʼa·sʼay | Pronunciation: dusʼá·sʼay | Generated Pronunciation: dusʼa·sʼáy
Index: 2155 | Entry: *duʔne·cicʼ | Pronunciation: duʔné·ciʔ | Generated Pronunciation: duʔne·cíʔ
